No.,Time,Source,Destination,Protocol,Length,Info,Label
5405,71.60188766,10.244.0.10,10.244.0.11,TCP,83,"8000  >  32808 [PSH, ACK] Seq=174 Ack=201 Win=64256 Len=17 TSval=416623051 TSecr=1596675964",0
5406,71.60498368,10.244.0.11,10.244.0.10,TCP,66,32808  >  8000 [ACK] Seq=201 Ack=191 Win=64768 Len=0 TSval=1596675987 TSecr=416623045,0
5407,71.60515706,10.244.0.11,10.244.0.10,TCP,66,"32808  >  8000 [FIN, ACK] Seq=201 Ack=191 Win=64768 Len=0 TSval=1596675987 TSecr=416623045",0
5408,71.60779397,10.244.0.11,10.244.0.19,TCP,189,"8000  >  34504 [PSH, ACK] Seq=62 Ack=699 Win=64128 Len=123 TSval=2996843952 TSecr=234872762",0
5409,71.60783549,10.244.0.19,10.244.0.11,TCP,66,34504  >  8000 [ACK] Seq=699 Ack=185 Win=64896 Len=0 TSval=234873451 TSecr=2996843952,0
5410,71.6078769,10.244.0.11,10.244.0.19,TCP,1270,"8000  >  34504 [PSH, ACK] Seq=185 Ack=699 Win=64128 Len=1204 TSval=2996843952 TSecr=234873451",0
5411,71.6078861,10.244.0.19,10.244.0.11,TCP,66,34504  >  8000 [ACK] Seq=699 Ack=1389 Win=64256 Len=0 TSval=234873451 TSecr=2996843952,0
5412,71.61121243,10.244.0.11,10.244.0.19,TCP,83,"8000  >  34504 [PSH, ACK] Seq=1389 Ack=699 Win=64128 Len=17 TSval=2996843955 TSecr=234873451",0
5413,71.61125636,10.244.0.19,10.244.0.11,TCP,66,34504  >  8000 [ACK] Seq=699 Ack=1406 Win=64256 Len=0 TSval=234873454 TSecr=2996843955,0
5414,71.61164338,10.244.0.10,10.244.0.11,TCP,66,"8000  >  32808 [FIN, ACK] Seq=191 Ack=202 Win=64256 Len=0 TSval=416623061 TSecr=1596675987",0
5415,71.61166198,10.244.0.11,10.244.0.10,TCP,66,32808  >  8000 [ACK] Seq=202 Ack=192 Win=64768 Len=0 TSval=1596675994 TSecr=416623061,0
5416,71.61746025,10.244.0.19,10.244.0.2,DNS,105,Standard query 0x04f4 AAAA nrf-nnrf.free5gc.svc.cluster.local OPT,0
5417,71.61757403,10.244.0.19,10.244.0.3,DNS,105,Standard query 0xbbff A nrf-nnrf.free5gc.svc.cluster.local OPT,0
5418,71.61780797,10.244.0.2,10.244.0.19,DNS,198,Standard query response 0x04f4 AAAA nrf-nnrf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
5419,71.61797329,10.244.0.3,10.244.0.19,DNS,155,Standard query response 0xbbff A nrf-nnrf.free5gc.svc.cluster.local A 10.110.246.0 OPT,0
5420,71.63008229,10.244.0.10,10.244.0.8,TCP,66,38622  >  27017 [ACK] Seq=9592 Ack=41249 Win=502 Len=0 TSval=1426681112 TSecr=4121642050,0
5421,71.63176219,10.244.0.19,10.244.0.10,TCP,74,52228  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=1741425633 TSecr=0 WS=128,0
5422,71.63180697,10.244.0.10,10.244.0.19,TCP,74,"8000  >  52228 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=1260203662 TSecr=1741425633 WS=128",0
5423,71.6318218,10.244.0.19,10.244.0.10,TCP,66,52228  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1741425633 TSecr=1260203662,0
5424,71.67620712,10.244.0.19,10.244.0.10,TCP,130,"52228  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=1741425677 TSecr=1260203662",0
5425,71.67624923,10.244.0.10,10.244.0.19,TCP,66,8000  >  52228 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=1260203706 TSecr=1741425677,0
5426,71.68399104,10.244.0.10,10.244.0.19,TCP,105,"8000  >  52228 [PSH, ACK] Seq=1 Ack=65 Win=64256 Len=39 TSval=1260203714 TSecr=1741425677",0
5427,71.68404895,10.244.0.19,10.244.0.10,TCP,66,52228  >  8000 [ACK] Seq=65 Ack=40 Win=64896 Len=0 TSval=1741425685 TSecr=1260203714,0
5428,71.68408968,10.244.0.10,10.244.0.19,TCP,88,"8000  >  52228 [PSH, ACK] Seq=40 Ack=65 Win=64256 Len=22 TSval=1260203714 TSecr=1741425685",0
5429,71.68409656,10.244.0.19,10.244.0.10,TCP,66,52228  >  8000 [ACK] Seq=65 Ack=62 Win=64896 Len=0 TSval=1741425685 TSecr=1260203714,0
5430,71.68462511,10.244.0.19,10.244.0.10,TCP,75,"52228  >  8000 [PSH, ACK] Seq=65 Ack=62 Win=64896 Len=9 TSval=1741425686 TSecr=1260203714",0
5431,71.68924786,10.244.0.10,10.244.0.19,TCP,83,"8000  >  52228 [PSH, ACK] Seq=62 Ack=74 Win=64256 Len=17 TSval=1260203719 TSecr=1741425686",0
5432,71.73767407,10.244.0.19,10.244.0.10,TCP,66,52228  >  8000 [ACK] Seq=74 Ack=79 Win=64896 Len=0 TSval=1741425739 TSecr=1260203719,0
5433,71.75254275,10.244.0.22,10.244.0.21,UDP,67,51727  >  4997 Len=25,0
5434,71.75962861,10.244.0.21,10.244.0.22,UDP,59,4997  >  51727 Len=17,0
5435,71.77922955,10.244.0.19,10.244.0.3,DNS,105,Standard query 0x7321 A nrf-nnrf.free5gc.svc.cluster.local OPT,0
5436,71.78078168,10.244.0.19,10.244.0.3,DNS,105,Standard query 0xeef4 AAAA nrf-nnrf.free5gc.svc.cluster.local OPT,0
5437,71.78520916,10.244.0.3,10.244.0.19,DNS,198,Standard query response 0xeef4 AAAA nrf-nnrf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
5438,71.78716195,10.244.0.3,10.244.0.19,DNS,155,Standard query response 0x7321 A nrf-nnrf.free5gc.svc.cluster.local A 10.110.246.0 OPT,0
