No.,Time,Source,Destination,Protocol,Length,Info,Label
22,0.150646088,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426609629 TSecr=4121570608,0
111,3.68341435,10.244.0.11,10.244.0.8,TCP,66,49870  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1788583876 TSecr=3812406866,0
204,5.306321279,10.244.0.17,10.244.0.8,TCP,66,33038  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=600277041 TSecr=1126332011,0
253,7.242271545,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1788587434 TSecr=3812410424,0
254,7.502489255,10.244.0.10,10.244.0.8,TCP,66,33978  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426616985 TSecr=4121577965,0
255,7.700747284,10.244.0.10,10.244.0.8,TCP,66,57538  >  27017 [ACK] Seq=1 Ack=1 Win=505 Len=0 TSval=1426617183 TSecr=4121563085,0
256,7.700765839,10.244.0.10,10.244.0.8,TCP,66,38622  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426617183 TSecr=4121563061,0
257,7.700791999,10.244.0.8,10.244.0.10,TCP,66,[TCP ACKed unseen segment] 27017  >  57538 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=4121578163 TSecr=1426324064,0
258,7.700810474,10.244.0.8,10.244.0.10,TCP,66,[TCP ACKed unseen segment] 27017  >  38622 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=4121578163 TSecr=1426324064,0
260,7.700948097,10.244.0.9,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 8000  >  45268 [ACK] Seq=1 Ack=2 Win=502 Len=0 TSval=2653820509 TSecr=1926364751,0
261,7.700904133,10.244.0.9,10.244.0.20,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 8000  >  45268 [ACK] Seq=0 Ack=2 Win=502 Len=0 TSval=2653820509 TSecr=1926364751,0
301,9.152940069,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=600280887 TSecr=1126335859,0
342,10.16637767,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=305 Win=502 Len=0 TSval=1426619645 TSecr=4121580625,0
384,11.540419,10.10.2.1,10.10.2.22,SCTP,108,HEARTBEAT ,0
385,11.544741,10.10.2.22,10.10.2.1,SCTP,108,HEARTBEAT_ACK ,0
439,13.84455319,10.244.0.8,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 27017  >  33848 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=353282313 TSecr=2641096859,0
441,13.84836243,10.244.0.8,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 27017  >  38196 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=353282317 TSecr=2641096864,0
443,13.84942918,10.244.0.8,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 27017  >  33858 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=353282318 TSecr=2641096859,0
602,17.2500854,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=305 Win=502 Len=0 TSval=1788597438 TSecr=3812420428,0
642,19.16703711,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=305 Win=502 Len=0 TSval=600290901 TSecr=1126345873,0
684,20.17830981,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=609 Win=502 Len=0 TSval=1426629661 TSecr=4121590640,0
746,22.8105926,10.244.0.9,10.244.0.20,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 8000  >  45268 [ACK] Seq=0 Ack=2 Win=502 Len=0 TSval=2653835619 TSecr=1926379853,0
808,24.550513,10.10.4.101,10.10.4.1,PFCP,60,PFCP Heartbeat Request,0
809,24.550938,10.10.4.1,10.10.4.101,PFCP,60,PFCP Heartbeat Response,0
879,25.879148,10.10.2.22,10.10.2.1,SCTP,108,HEARTBEAT ,0
880,25.879168,10.10.2.1,10.10.2.22,SCTP,108,HEARTBEAT_ACK ,0
881,25.87947179,10.244.0.8,10.244.0.10,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 27017  >  38622 [ACK] Seq=0 Ack=2 Win=501 Len=0 TSval=4121596342 TSecr=1426324064,0
882,25.87947558,10.244.0.8,10.244.0.10,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 27017  >  57538 [ACK] Seq=0 Ack=2 Win=501 Len=0 TSval=4121596342 TSecr=1426324064,0
926,27.25868569,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=609 Win=502 Len=0 TSval=1788607451 TSecr=3812430441,0
966,29.1748227,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=609 Win=502 Len=0 TSval=600300909 TSecr=1126355881,0
1016,30.1899516,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=913 Win=502 Len=0 TSval=1426639672 TSecr=4121600652,0
1149,34.561585,10.10.4.101,10.10.4.1,PFCP,60,PFCP Heartbeat Request,0
1150,34.570499,10.10.4.1,10.10.4.101,PFCP,60,PFCP Heartbeat Response,0
1291,37.27988518,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=913 Win=502 Len=0 TSval=1788617471 TSecr=3812440461,0
1295,37.91089132,10.244.0.10,10.244.0.8,TCP,66,[TCP Keep-Alive] 57538  >  27017 [ACK] Seq=1 Ack=1 Win=505 Len=0 TSval=1426647393 TSecr=4121593269,0
1297,37.9110941,10.244.0.9,10.244.0.20,TCP,66,[TCP Keep-Alive] 8000  >  45268 [ACK] Seq=0 Ack=2 Win=502 Len=0 TSval=2653850719 TSecr=1926394963,0
1299,37.91079208,10.244.0.10,10.244.0.8,TCP,66,[TCP Keep-Alive] 38622  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426647393 TSecr=4121593270,0
1344,39.19081065,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=913 Win=502 Len=0 TSval=600310925 TSecr=1126365897,0
1382,40.19971451,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=1217 Win=502 Len=0 TSval=1426649682 TSecr=4121610662,0
1442,42.266343,10.10.2.1,10.10.2.22,SCTP,108,HEARTBEAT ,0
1443,42.27031,10.10.2.22,10.10.2.1,SCTP,108,HEARTBEAT_ACK ,0
1505,44.590723,10.10.4.101,10.10.4.1,PFCP,60,PFCP Heartbeat Request,0
1506,44.598891,10.10.4.1,10.10.4.101,PFCP,60,PFCP Heartbeat Response,0
1621,47.29456322,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=1217 Win=502 Len=0 TSval=1788627487 TSecr=3812450477,0
1690,49.19940001,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=1217 Win=502 Len=0 TSval=600320934 TSecr=1126375906,0
1786,50.21151415,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=1521 Win=502 Len=0 TSval=1426659694 TSecr=4121620674,0
1845,52.89699409,10.244.0.22,10.244.0.2,DNS,97,Standard query 0xc2d8 A gnb-service.free5gc.svc.cluster.local,0
1846,52.89956304,10.244.0.22,10.244.0.2,DNS,97,Standard query 0x1e92 AAAA gnb-service.free5gc.svc.cluster.local,0
1847,52.90313892,10.244.0.2,10.244.0.22,DNS,190,Standard query response 0x1e92 AAAA gnb-service.free5gc.svc.cluster.local SOA ns.dns.cluster.local,0
1848,52.90344712,10.244.0.2,10.244.0.22,DNS,150,Standard query response 0xc2d8 A gnb-service.free5gc.svc.cluster.local A 10.99.176.129,0
1849,52.98722666,10.244.0.22,10.244.0.21,UDP,67,51727  >  4997 Len=25,0
1850,52.98690121,10.244.0.22,10.244.0.21,UDP,67,51727  >  4997 Len=25,0
1851,52.98785419,10.244.0.21,10.244.0.22,UDP,59,4997  >  51727 Len=17,0
1852,52.99555235,10.244.0.21,10.244.0.22,UDP,71,4997  >  51727 Len=29,0
1853,52.99558807,10.244.0.21,10.244.0.22,UDP,156,4997  >  51727 Len=114,0
1864,53.0138074,10.244.0.10,10.244.0.8,TCP,66,[TCP Keep-Alive] 57538  >  27017 [ACK] Seq=1 Ack=1 Win=505 Len=0 TSval=1426662496 TSecr=4121608373,0
1866,53.01443552,10.244.0.10,10.244.0.8,TCP,66,[TCP Keep-Alive] 38622  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426662497 TSecr=4121608374,0
1868,53.01447235,10.244.0.9,10.244.0.20,TCP,66,[TCP Keep-Alive] 8000  >  45268 [ACK] Seq=0 Ack=2 Win=502 Len=0 TSval=2653865823 TSecr=1926410063,0
1874,53.09784274,10.244.0.22,10.244.0.21,UDP,74,51727  >  4997 Len=32,0
1875,53.10263852,10.244.0.21,10.244.0.22,UDP,73,4997  >  51727 Len=31,0
1876,53.17625924,10.244.0.22,10.244.0.21,UDP,97,51727  >  4997 Len=55,0
1877,53.186785,10.10.2.22,10.10.2.1,NGAP/NAS-5GS,140,"InitialUEMessage, Registration request",0
1888,53.390986,10.10.2.1,10.10.2.22,SCTP,64,SACK ,0
1889,53.47992025,10.244.0.9,10.244.0.3,DNS,105,Standard query 0x6dec AAAA nrf-nnrf.free5gc.svc.cluster.local OPT,0
1890,53.47875167,10.244.0.9,10.244.0.2,DNS,105,Standard query 0x017a A nrf-nnrf.free5gc.svc.cluster.local OPT,0
1891,53.48304319,10.244.0.2,10.244.0.9,DNS,155,Standard query response 0x017a A nrf-nnrf.free5gc.svc.cluster.local A 10.110.246.0 OPT,0
1892,53.48450896,10.244.0.3,10.244.0.9,DNS,198,Standard query response 0x6dec AAAA nrf-nnrf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
1895,53.57909289,10.244.0.9,10.244.0.10,TCP,74,51026  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=1740995780 TSecr=0 WS=128,0
1896,53.5793005,10.244.0.10,10.244.0.9,TCP,74,"8000  >  51026 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=2594618171 TSecr=1740995780 WS=128",0
1897,53.57932068,10.244.0.9,10.244.0.10,TCP,66,51026  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1740995781 TSecr=2594618171,0
1898,53.57974355,10.244.0.9,10.244.0.10,TCP,130,"51026  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=1740995781 TSecr=2594618171",0
1899,53.57975571,10.244.0.10,10.244.0.9,TCP,66,8000  >  51026 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=2594618172 TSecr=1740995781,0
1900,53.58155927,10.244.0.9,10.244.0.10,TCP,193,"51026  >  8000 [PSH, ACK] Seq=65 Ack=1 Win=64896 Len=127 TSval=1740995783 TSecr=2594618172",0
1901,53.5815762,10.244.0.10,10.244.0.9,TCP,66,8000  >  51026 [ACK] Seq=1 Ack=192 Win=64256 Len=0 TSval=2594618174 TSecr=1740995783,0
1902,53.58324078,10.244.0.10,10.244.0.9,TCP,105,"8000  >  51026 [PSH, ACK] Seq=1 Ack=192 Win=64256 Len=39 TSval=2594618175 TSecr=1740995783",0
1903,53.58325696,10.244.0.9,10.244.0.10,TCP,66,51026  >  8000 [ACK] Seq=192 Ack=40 Win=64896 Len=0 TSval=1740995784 TSecr=2594618175,0
1904,53.58329673,10.244.0.10,10.244.0.9,TCP,88,"8000  >  51026 [PSH, ACK] Seq=40 Ack=192 Win=64256 Len=22 TSval=2594618176 TSecr=1740995784",0
1905,53.58330738,10.244.0.9,10.244.0.10,TCP,66,51026  >  8000 [ACK] Seq=192 Ack=62 Win=64896 Len=0 TSval=1740995785 TSecr=2594618176,0
1906,53.58399185,10.244.0.9,10.244.0.10,TCP,75,"51026  >  8000 [PSH, ACK] Seq=192 Ack=62 Win=64896 Len=9 TSval=1740995785 TSecr=2594618176",0
1907,53.60758705,10.244.0.10,10.244.0.8,TCP,303,"38622  >  27017 [PSH, ACK] Seq=2 Ack=1 Win=502 Len=237 TSval=1426663090 TSecr=4121623477 [TCP segment of a reassembled PDU]",0
1908,53.612401,10.244.0.8,10.244.0.10,TCP,724,"27017  >  38622 [PSH, ACK] Seq=1 Ack=239 Win=501 Len=658 TSval=4121624075 TSecr=1426663090 [TCP segment of a reassembled PDU]",0
1909,53.61248601,10.244.0.10,10.244.0.8,TCP,66,38622  >  27017 [ACK] Seq=239 Ack=659 Win=502 Len=0 TSval=1426663095 TSecr=4121624075,0
1910,53.62537709,10.244.0.10,10.244.0.9,TCP,66,8000  >  51026 [ACK] Seq=62 Ack=201 Win=64256 Len=0 TSval=2594618218 TSecr=1740995785,0
1911,53.68001658,10.244.0.10,10.244.0.9,TCP,129,"8000  >  51026 [PSH, ACK] Seq=62 Ack=201 Win=64256 Len=63 TSval=2594618272 TSecr=1740995785",0
1912,53.68009275,10.244.0.10,10.244.0.9,TCP,592,"8000  >  51026 [PSH, ACK] Seq=125 Ack=201 Win=64256 Len=526 TSval=2594618272 TSecr=1740995785",0
1914,53.6828569,10.244.0.10,10.244.0.9,TCP,83,"8000  >  51026 [PSH, ACK] Seq=651 Ack=201 Win=64256 Len=17 TSval=2594618275 TSecr=1740995785",0
1915,53.69112255,10.244.0.9,10.244.0.10,TCP,66,51026  >  8000 [ACK] Seq=201 Ack=668 Win=64384 Len=0 TSval=1740995892 TSecr=2594618272,0
1916,53.69793892,10.244.0.9,10.244.0.10,TCP,66,"51026  >  8000 [FIN, ACK] Seq=201 Ack=668 Win=64384 Len=0 TSval=1740995899 TSecr=2594618272",0
1917,53.74464457,10.244.0.10,10.244.0.9,TCP,66,8000  >  51026 [ACK] Seq=668 Ack=202 Win=64256 Len=0 TSval=2594618337 TSecr=1740995899,0
1918,53.77474871,10.244.0.10,10.244.0.9,TCP,66,"8000  >  51026 [FIN, ACK] Seq=668 Ack=202 Win=64256 Len=0 TSval=2594618367 TSecr=1740995899",0
1919,53.77484159,10.244.0.9,10.244.0.10,TCP,66,51026  >  8000 [ACK] Seq=202 Ack=669 Win=64384 Len=0 TSval=1740995976 TSecr=2594618367,0
1920,53.7839987,10.244.0.9,10.244.0.3,DNS,107,Standard query 0x6296 AAAA ausf-nausf.free5gc.svc.cluster.local OPT,0
1921,53.78747958,10.244.0.9,10.244.0.2,DNS,107,Standard query 0xbe9f A ausf-nausf.free5gc.svc.cluster.local OPT,0
1922,53.78804312,10.244.0.2,10.244.0.9,DNS,159,Standard query response 0xbe9f A ausf-nausf.free5gc.svc.cluster.local A 10.111.52.88 OPT,0
1923,53.79296817,10.244.0.3,10.244.0.9,DNS,200,Standard query response 0x6296 AAAA ausf-nausf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
1924,53.79499344,10.244.0.9,10.244.0.12,TCP,74,60086  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=414210932 TSecr=0 WS=128,0
1925,53.7951558,10.244.0.12,10.244.0.9,TCP,74,"8000  >  60086 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=703964669 TSecr=414210932 WS=128",0
1926,53.79520349,10.244.0.9,10.244.0.12,TCP,66,60086  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=414210932 TSecr=703964669,0
1927,53.8005063,10.244.0.9,10.244.0.12,TCP,130,"60086  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=414210938 TSecr=703964669",0
1928,53.80053352,10.244.0.12,10.244.0.9,TCP,66,8000  >  60086 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=703964675 TSecr=414210938,0
1929,53.80064909,10.244.0.9,10.244.0.12,TCP,196,"60086  >  8000 [PSH, ACK] Seq=65 Ack=1 Win=64896 Len=130 TSval=414210938 TSecr=703964675",0
1930,53.80066164,10.244.0.12,10.244.0.9,TCP,66,8000  >  60086 [ACK] Seq=1 Ack=195 Win=64128 Len=0 TSval=703964675 TSecr=414210938,0
1931,53.8007015,10.244.0.9,10.244.0.12,TCP,181,"60086  >  8000 [PSH, ACK] Seq=195 Ack=1 Win=64896 Len=115 TSval=414210938 TSecr=703964675",0
1932,53.80071208,10.244.0.12,10.244.0.9,TCP,66,8000  >  60086 [ACK] Seq=1 Ack=310 Win=64128 Len=0 TSval=703964675 TSecr=414210938,0
1933,53.81652256,10.244.0.12,10.244.0.9,TCP,105,"8000  >  60086 [PSH, ACK] Seq=1 Ack=310 Win=64128 Len=39 TSval=703964691 TSecr=414210938",0
1934,53.81663407,10.244.0.9,10.244.0.12,TCP,66,60086  >  8000 [ACK] Seq=310 Ack=40 Win=64896 Len=0 TSval=414210954 TSecr=703964691,0
1935,53.81672181,10.244.0.12,10.244.0.9,TCP,79,"8000  >  60086 [PSH, ACK] Seq=40 Ack=310 Win=64128 Len=13 TSval=703964691 TSecr=414210954",0
1936,53.81673453,10.244.0.9,10.244.0.12,TCP,66,60086  >  8000 [ACK] Seq=310 Ack=53 Win=64896 Len=0 TSval=414210954 TSecr=703964691,0
1937,53.81883487,10.244.0.12,10.244.0.9,TCP,83,"8000  >  60086 [PSH, ACK] Seq=53 Ack=310 Win=64128 Len=17 TSval=703964693 TSecr=414210954",0
1938,53.81887506,10.244.0.9,10.244.0.12,TCP,66,60086  >  8000 [ACK] Seq=310 Ack=70 Win=64896 Len=0 TSval=414210956 TSecr=703964693,0
1939,53.82008032,10.244.0.9,10.244.0.12,TCP,75,"60086  >  8000 [PSH, ACK] Seq=310 Ack=70 Win=64896 Len=9 TSval=414210957 TSecr=703964693",0
1940,53.82020804,10.244.0.9,10.244.0.12,TCP,79,"60086  >  8000 [PSH, ACK] Seq=319 Ack=70 Win=64896 Len=13 TSval=414210957 TSecr=703964693",0
1941,53.8202628,10.244.0.9,10.244.0.12,TCP,66,"60086  >  8000 [FIN, ACK] Seq=332 Ack=70 Win=64896 Len=0 TSval=414210957 TSecr=703964693",0
1942,53.82058357,10.244.0.9,10.244.0.2,DNS,107,Standard query 0x1c08 AAAA ausf-nausf.free5gc.svc.cluster.local OPT,0
1943,53.82069677,10.244.0.9,10.244.0.2,DNS,107,Standard query 0xb761 A ausf-nausf.free5gc.svc.cluster.local OPT,0
1944,53.82313769,10.244.0.2,10.244.0.9,DNS,159,Standard query response 0xb761 A ausf-nausf.free5gc.svc.cluster.local A 10.111.52.88 OPT,0
1945,53.82585708,10.244.0.2,10.244.0.9,DNS,200,Standard query response 0x1c08 AAAA ausf-nausf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
1946,53.82708666,10.244.0.9,10.244.0.12,TCP,74,60090  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=414210964 TSecr=0 WS=128,0
1947,53.82717961,10.244.0.12,10.244.0.9,TCP,74,"8000  >  60090 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=703964701 TSecr=414210964 WS=128",0
1948,53.82719863,10.244.0.9,10.244.0.12,TCP,66,60090  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=414210964 TSecr=703964701,0
1949,53.83487095,10.244.0.12,10.244.0.9,TCP,78,8000  >  60086 [ACK] Seq=70 Ack=333 Win=64128 Len=0 TSval=703964709 TSecr=414210957 SLE=332 SRE=333,0
1950,53.87333168,10.244.0.12,10.244.0.9,TCP,75,"8000  >  60086 [PSH, ACK] Seq=70 Ack=333 Win=64128 Len=9 TSval=703964748 TSecr=414210957",0
1951,53.87339067,10.244.0.9,10.244.0.12,TCP,54,60086  >  8000 [RST] Seq=333 Win=0 Len=0,0
1952,53.87415375,10.244.0.9,10.244.0.12,TCP,130,"60090  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=414211011 TSecr=703964701",0
1953,53.87970352,10.244.0.12,10.244.0.9,TCP,66,8000  >  60090 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=703964748 TSecr=414211011,0
1954,53.88077701,10.244.0.12,10.244.0.9,TCP,105,"8000  >  60090 [PSH, ACK] Seq=1 Ack=65 Win=64256 Len=39 TSval=703964755 TSecr=414211011",0
1955,53.88082583,10.244.0.9,10.244.0.12,TCP,66,60090  >  8000 [ACK] Seq=65 Ack=40 Win=64896 Len=0 TSval=414211018 TSecr=703964755,0
1956,53.88085987,10.244.0.12,10.244.0.9,TCP,88,"8000  >  60090 [PSH, ACK] Seq=40 Ack=65 Win=64256 Len=22 TSval=703964755 TSecr=414211018",0
1957,53.88086911,10.244.0.9,10.244.0.12,TCP,66,60090  >  8000 [ACK] Seq=65 Ack=62 Win=64896 Len=0 TSval=414211018 TSecr=703964755,0
1958,53.88254183,10.244.0.9,10.244.0.12,TCP,196,"60090  >  8000 [PSH, ACK] Seq=65 Ack=62 Win=64896 Len=130 TSval=414211020 TSecr=703964755",0
1959,53.88266325,10.244.0.9,10.244.0.12,TCP,190,"60090  >  8000 [PSH, ACK] Seq=195 Ack=62 Win=64896 Len=124 TSval=414211020 TSecr=703964755",0
1960,53.8837188,10.244.0.12,10.244.0.9,TCP,66,8000  >  60090 [ACK] Seq=62 Ack=319 Win=64128 Len=0 TSval=703964758 TSecr=414211020,0
1961,53.9815791,10.244.0.12,10.244.0.3,DNS,105,Standard query 0x2484 A nrf-nnrf.free5gc.svc.cluster.local OPT,0
1962,53.98266664,10.244.0.12,10.244.0.3,DNS,105,Standard query 0x0f41 AAAA nrf-nnrf.free5gc.svc.cluster.local OPT,0
1963,53.98357386,10.244.0.3,10.244.0.12,DNS,198,Standard query response 0x0f41 AAAA nrf-nnrf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
1964,53.98800573,10.244.0.22,10.244.0.21,UDP,67,51727  >  4997 Len=25,0
1965,53.98806644,10.244.0.21,10.244.0.22,UDP,59,4997  >  51727 Len=17,0
1966,53.99101471,10.244.0.3,10.244.0.12,DNS,155,Standard query response 0x2484 A nrf-nnrf.free5gc.svc.cluster.local A 10.110.246.0 OPT,0
1967,53.99704896,10.244.0.12,10.244.0.10,TCP,74,50536  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=3817860525 TSecr=0 WS=128,0
1968,53.99732893,10.244.0.10,10.244.0.12,TCP,74,"8000  >  50536 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=4039607524 TSecr=3817860525 WS=128",0
1969,53.99734559,10.244.0.12,10.244.0.10,TCP,66,50536  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=3817860526 TSecr=4039607524,0
1970,53.9975678,10.244.0.12,10.244.0.10,TCP,130,"50536  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=3817860526 TSecr=4039607524",0
1971,53.99758391,10.244.0.10,10.244.0.12,TCP,66,8000  >  50536 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=4039607525 TSecr=3817860526,0
1972,53.99795737,10.244.0.12,10.244.0.10,TCP,211,"50536  >  8000 [PSH, ACK] Seq=65 Ack=1 Win=64896 Len=145 TSval=3817860526 TSecr=4039607525",0
1973,53.99797167,10.244.0.10,10.244.0.12,TCP,66,8000  >  50536 [ACK] Seq=1 Ack=210 Win=64128 Len=0 TSval=4039607525 TSecr=3817860526,0
1974,53.99822221,10.244.0.10,10.244.0.12,TCP,105,"8000  >  50536 [PSH, ACK] Seq=1 Ack=210 Win=64128 Len=39 TSval=4039607525 TSecr=3817860526",0
1975,53.99824163,10.244.0.12,10.244.0.10,TCP,66,50536  >  8000 [ACK] Seq=210 Ack=40 Win=64896 Len=0 TSval=3817860526 TSecr=4039607525,0
1976,53.99953152,10.244.0.10,10.244.0.12,TCP,88,"8000  >  50536 [PSH, ACK] Seq=40 Ack=210 Win=64128 Len=22 TSval=4039607527 TSecr=3817860526",0
1977,53.99954147,10.244.0.12,10.244.0.10,TCP,66,50536  >  8000 [ACK] Seq=210 Ack=62 Win=64896 Len=0 TSval=3817860528 TSecr=4039607527,0
1978,53.99991754,10.244.0.10,10.244.0.8,TCP,422,"38622  >  27017 [PSH, ACK] Seq=239 Ack=659 Win=502 Len=356 TSval=1426663482 TSecr=4121624075 [TCP segment of a reassembled PDU]",0
1982,54.0055817,10.244.0.12,10.244.0.10,TCP,75,"50536  >  8000 [PSH, ACK] Seq=210 Ack=62 Win=64896 Len=9 TSval=3817860534 TSecr=4039607527",0
1983,54.00753724,10.244.0.8,10.244.0.10,TCP,1944,"27017  >  38622 [PSH, ACK] Seq=659 Ack=595 Win=501 Len=1878 TSval=4121624470 TSecr=1426663482 [TCP segment of a reassembled PDU]",0
1984,54.00756699,10.244.0.10,10.244.0.8,TCP,66,38622  >  27017 [ACK] Seq=595 Ack=2537 Win=500 Len=0 TSval=1426663490 TSecr=4121624470,0
1985,54.00817439,10.244.0.10,10.244.0.12,TCP,129,"8000  >  50536 [PSH, ACK] Seq=62 Ack=219 Win=64128 Len=63 TSval=4039607535 TSecr=3817860534",0
1986,54.0089833,10.244.0.10,10.244.0.12,TCP,1678,"8000  >  50536 [PSH, ACK] Seq=125 Ack=219 Win=64128 Len=1612 TSval=4039607536 TSecr=3817860534",0
1987,54.01017601,10.244.0.12,10.244.0.10,TCP,66,50536  >  8000 [ACK] Seq=219 Ack=1737 Win=64256 Len=0 TSval=3817860538 TSecr=4039607535,0
1988,54.01539112,10.244.0.10,10.244.0.12,TCP,83,"8000  >  50536 [PSH, ACK] Seq=1737 Ack=219 Win=64128 Len=17 TSval=4039607543 TSecr=3817860538",0
1996,54.06231418,10.244.0.12,10.244.0.10,TCP,66,50536  >  8000 [ACK] Seq=219 Ack=1754 Win=64256 Len=0 TSval=3817860591 TSecr=4039607543,0
1999,54.07977233,10.244.0.12,10.244.0.3,DNS,105,Standard query 0x89f7 AAAA udm-nudm.free5gc.svc.cluster.local OPT,0
2000,54.08269203,10.244.0.12,10.244.0.2,DNS,105,Standard query 0xf064 A udm-nudm.free5gc.svc.cluster.local OPT,0
2001,54.08445083,10.244.0.2,10.244.0.12,DNS,155,Standard query response 0xf064 A udm-nudm.free5gc.svc.cluster.local A 10.99.98.216 OPT,0
2002,54.08569589,10.244.0.3,10.244.0.12,DNS,198,Standard query response 0x89f7 AAAA udm-nudm.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
2003,54.08645424,10.244.0.12,10.244.0.16,TCP,74,44524  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=316947620 TSecr=0 WS=128,0
2004,54.08657042,10.244.0.16,10.244.0.12,TCP,74,"8000  >  44524 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=880156160 TSecr=316947620 WS=128",0
2005,54.08658887,10.244.0.12,10.244.0.16,TCP,66,44524  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=316947621 TSecr=880156160,0
2006,54.09256034,10.244.0.12,10.244.0.16,TCP,130,"44524  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=316947627 TSecr=880156160",0
